Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 68\Prüfablauf - (1 von 100)\F4016_1_Realkollektiv_1_#2.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
304	430679,734	6,155	-2,752	430679,759	5,637	-68,586	
305	430679,784	6,155	-2,690	430679,809	5,636	-68,689	
306	430679,834	6,156	-2,648	430679,859	5,636	-68,626	
307	430679,884	6,155	-2,696	430679,909	5,636	-68,653	
308	430679,934	6,155	-2,724	430679,959	5,637	-68,607	
309	430679,984	6,156	-2,615	430680,009	5,636	-68,729	
310	430680,034	6,155	-2,710	430680,059	5,636	-68,641	
311	430680,084	6,156	-2,635	430680,109	5,636	-68,700	
312	430680,134	6,155	-2,708	430680,159	5,636	-68,627	
313	430680,184	6,155	-2,695	430680,209	5,636	-68,699	
314	430680,234	6,155	-2,747	430680,259	5,637	-68,596	
315	430680,284	6,155	-2,700	430680,309	5,636	-68,715	
316	430680,334	6,155	-2,691	430680,359	5,636	-68,598	
317	430680,384	6,155	-2,678	430680,409	5,636	-68,695	
318	430680,434	6,155	-2,696	430680,459	5,637	-68,603	
319	430680,484	6,156	-2,631	430680,509	5,635	-68,724	
320	430680,534	6,156	-2,612	430680,559	5,636	-68,640	
321	430680,584	6,155	-2,679	430680,609	5,636	-68,709	
322	430680,634	6,155	-2,675	430680,659	5,637	-68,604	
323	430680,684	6,155	-2,681	430680,709	5,636	-68,691	
324	430680,734	6,155	-2,723	430680,759	5,637	-68,611	
325	430680,784	6,155	-2,651	430680,809	5,636	-68,728	
326	430680,834	6,154	-2,741	430680,859	5,636	-68,626	
327	430680,884	6,155	-2,666	430680,909	5,636	-68,647	
328	430680,934	6,155	-2,697	430680,959	5,636	-68,628	
329	430680,984	6,156	-2,602	430681,009	5,636	-68,685	
330	430681,034	6,155	-2,692	430681,059	5,636	-68,590	
331	430681,084	6,155	-2,664	430681,109	5,636	-68,683	
332	430681,134	6,155	-2,663	430681,159	5,636	-68,596	
333	430681,184	6,156	-2,636	430681,209	5,636	-68,687	
334	430681,234	6,156	-2,683	430681,259	5,637	-68,593	
335	430681,284	6,156	-2,641	430681,309	5,636	-68,706	
336	430681,334	6,155	-2,700	430681,359	5,636	-68,612	
