Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 32\Prüfablauf - (1 von 1)\F4016_1_Ueberlast_frueh_#6.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
274	243370,226	6,076	-3,168	243370,251	5,402	-87,969	
275	243370,276	6,077	-3,229	243370,301	5,401	-88,090	
276	243370,326	6,076	-3,241	243370,351	5,402	-87,996	
277	243370,376	6,077	-3,152	243370,401	5,401	-88,081	
278	243370,426	6,077	-3,189	243370,451	5,401	-88,032	
279	243370,476	6,077	-3,158	243370,501	5,401	-88,052	
280	243370,526	6,077	-3,221	243370,551	5,401	-88,065	
281	243370,576	6,077	-3,187	243370,601	5,401	-88,101	
282	243370,626	6,077	-3,151	243370,651	5,402	-88,057	
283	243370,676	6,076	-3,212	243370,701	5,401	-88,085	
284	243370,726	6,077	-3,173	243370,751	5,402	-87,987	
285	243370,776	6,076	-3,196	243370,801	5,402	-88,044	
286	243370,826	6,077	-3,173	243370,851	5,401	-87,952	
287	243370,876	6,077	-3,183	243370,901	5,402	-88,049	
288	243370,926	6,077	-3,155	243370,951	5,402	-88,004	
289	243370,976	6,077	-3,180	243371,001	5,401	-88,023	
290	243371,026	6,077	-3,195	243371,051	5,402	-88,006	
291	243371,076	6,076	-3,222	243371,101	5,401	-88,028	
292	243371,126	6,076	-3,199	243371,151	5,402	-88,058	
293	243371,176	6,077	-3,194	243371,201	5,402	-88,035	
294	243371,226	6,077	-3,160	243371,251	5,402	-87,997	
295	243371,276	6,077	-3,176	243371,301	5,402	-88,016	
296	243371,326	6,077	-3,163	243371,351	5,403	-87,978	
297	243371,376	6,077	-3,164	243371,401	5,402	-87,980	
298	243371,426	6,077	-3,177	243371,451	5,401	-88,028	
299	243371,476	6,078	-3,174	243371,501	5,402	-87,998	
300	243371,526	6,077	-3,178	243371,551	5,402	-88,010	
301	243371,576	6,077	-3,195	243371,601	5,402	-87,946	
302	243371,626	6,077	-3,127	243371,651	5,401	-88,012	
303	243371,676	6,077	-3,189	243371,701	5,402	-87,978	
304	243371,726	6,077	-3,195	243371,751	5,402	-88,012	
305	243371,776	6,076	-3,212	243371,801	5,402	-88,007	
306	243371,826	6,077	-3,173	243371,851	5,401	-88,049	
307	243371,876	6,077	-3,188	243371,901	5,402	-87,985	
308	243371,926	6,076	-3,228	243371,951	5,402	-88,003	
309	243371,976	6,077	-3,213	243372,001	5,401	-88,069	
310	243372,026	6,076	-3,211	243372,051	5,401	-88,060	
311	243372,076	6,077	-3,152	243372,101	5,402	-88,023	
312	243372,126	6,076	-3,181	243372,151	5,402	-88,010	
313	243372,176	6,077	-3,181	243372,201	5,401	-88,042	
314	243372,226	6,077	-3,169	243372,251	5,401	-88,046	
315	243372,276	6,077	-3,181	243372,301	5,401	-88,033	
316	243372,326	6,076	-3,240	243372,351	5,402	-88,040	
317	243372,376	6,077	-3,194	243372,401	5,401	-88,096	
318	243372,426	6,076	-3,197	243372,451	5,401	-88,062	
319	243372,476	6,077	-3,170	243372,501	5,401	-88,046	
320	243372,526	6,077	-3,192	243372,551	5,401	-88,085	
321	243372,576	6,077	-3,173	243372,601	5,401	-88,090	
322	243372,626	6,076	-3,197	243372,651	5,401	-88,067	
323	243372,676	6,076	-3,239	243372,701	5,401	-88,042	
324	243372,726	6,077	-3,178	243372,751	5,401	-88,098	
325	243372,776	6,077	-3,176	243372,801	5,401	-88,121	
326	243372,826	6,076	-3,225	243372,851	5,401	-88,108	
327	243372,876	6,077	-3,158	243372,901	5,401	-88,091	
328	243372,926	6,076	-3,250	243372,951	5,401	-88,116	
329	243372,976	6,077	-3,214	243373,001	5,401	-88,098	
330	243373,026	6,077	-3,197	243373,051	5,401	-88,090	
331	243373,076	6,077	-3,149	243373,101	5,400	-88,117	
332	243373,126	6,076	-3,216	243373,151	5,401	-88,059	
333	243373,176	6,077	-3,175	243373,201	5,401	-88,100	
334	243373,226	6,076	-3,237	243373,251	5,401	-88,056	
335	243373,276	6,076	-3,187	243373,301	5,401	-88,128	
336	243373,326	6,076	-3,200	243373,351	5,401	-88,111	
337	243373,376	6,076	-3,253	243373,401	5,401	-88,121	
338	243373,426	6,075	-3,330	243373,451	5,401	-88,108	
339	243373,476	6,076	-3,228	243373,501	5,401	-88,130	
340	243373,526	6,076	-3,219	243373,551	5,401	-88,109	
341	243373,576	6,076	-3,224	243373,601	5,400	-88,163	
342	243373,626	6,076	-3,254	243373,651	5,401	-88,082	
343	243373,676	6,077	-3,220	243373,701	5,401	-88,131	
344	243373,726	6,076	-3,280	243373,751	5,401	-88,139	
345	243373,776	6,076	-3,235	243373,801	5,400	-88,186	
346	243373,826	6,076	-3,239	243373,851	5,400	-88,142	
347	243373,876	6,077	-3,154	243373,901	5,400	-88,151	
348	243373,926	6,076	-3,261	243373,951	5,401	-88,129	
349	243373,976	6,076	-3,233	243374,001	5,401	-88,140	
350	243374,026	6,076	-3,273	243374,051	5,400	-88,160	
351	243374,076	6,077	-3,180	243374,101	5,400	-88,161	
352	243374,126	6,076	-3,253	243374,151	5,400	-88,146	
353	243374,176	6,077	-3,158	243374,201	5,401	-88,129	
354	243374,226	6,076	-3,208	243374,251	5,401	-88,104	
355	243374,276	6,076	-3,182	243374,301	5,401	-88,115	
356	243374,326	6,077	-3,206	243374,351	5,401	-88,073	
357	243374,376	6,077	-3,155	243374,401	5,401	-88,108	
358	243374,426	6,077	-3,245	243374,451	5,401	-88,105	
359	243374,476	6,077	-3,165	243374,501	5,400	-88,138	
360	243374,526	6,076	-3,234	243374,551	5,401	-88,111	
361	243374,576	6,077	-3,117	243374,601	5,401	-88,055	
362	243374,626	6,077	-3,138	243374,651	5,402	-88,046	
363	243374,676	6,077	-3,164	243374,701	5,402	-88,043	
364	243374,726	6,077	-3,175	243374,751	5,401	-88,086	
365	243374,776	6,077	-3,108	243374,801	5,401	-88,099	
366	243374,826	6,077	-3,125	243374,851	5,401	-88,075	
367	243374,876	6,076	-3,202	243374,901	5,401	-88,036	
368	243374,926	6,077	-3,183	243374,951	5,401	-88,079	
369	243374,976	6,078	-3,073	243375,001	5,401	-88,049	
370	243375,026	6,077	-3,139	243375,051	5,402	-88,008	
371	243375,076	6,077	-3,114	243375,101	5,401	-88,079	
372	243375,126	6,077	-3,176	243375,151	5,401	-88,089	
373	243375,176	6,077	-3,070	243375,201	5,402	-88,034	
374	243375,226	6,077	-3,154	243375,251	5,401	-88,039	
375	243375,276	6,077	-3,128	243375,301	5,401	-88,060	
376	243375,326	6,077	-3,175	243375,351	5,401	-88,024	
377	243375,376	6,077	-3,116	243375,401	5,401	-88,079	
378	243375,426	6,077	-3,174	243375,451	5,401	-88,040	
379	243375,476	6,077	-3,133	243375,501	5,401	-88,105	
380	243375,526	6,077	-3,196	243375,551	5,401	-88,044	
381	243375,576	6,078	-3,092	243375,601	5,401	-88,056	
382	243375,626	6,077	-3,157	243375,651	5,401	-88,113	
383	243375,676	6,078	-3,064	243375,701	5,401	-88,060	
384	243375,726	6,077	-3,226	243375,751	5,401	-88,050	
385	243375,776	6,078	-3,089	243375,801	5,401	-88,080	
386	243375,826	6,077	-3,136	243375,851	5,401	-88,070	
387	243375,876	6,077	-3,105	243375,901	5,401	-88,136	
388	243375,926	6,077	-3,218	243375,951	5,401	-88,073	
389	243375,976	6,077	-3,110	243376,001	5,401	-88,074	
390	243376,026	6,077	-3,234	243376,051	5,401	-88,084	
391	243376,076	6,077	-3,110	243376,101	5,401	-88,048	
392	243376,126	6,076	-3,220	243376,151	5,400	-88,102	
393	243376,176	6,077	-3,048	243376,201	5,401	-88,033	
394	243376,226	6,077	-3,200	243376,251	5,401	-88,041	
395	243376,276	6,077	-3,120	243376,301	5,401	-88,085	
396	243376,326	6,077	-3,166	243376,351	5,401	-88,009	
397	243376,376	6,077	-3,132	243376,401	5,401	-88,097	
398	243376,426	6,077	-3,170	243376,451	5,401	-88,078	
399	243376,476	6,078	-3,098	243376,501	5,401	-88,050	
400	243376,526	6,077	-3,197	243376,551	5,401	-88,072	
401	243376,576	6,077	-3,082	243376,601	5,401	-88,043	
402	243376,626	6,077	-3,199	243376,651	5,401	-88,102	
403	243376,676	6,077	-3,140	243376,701	5,401	-88,075	
404	243376,726	6,077	-3,163	243376,751	5,401	-88,076	
405	243376,776	6,077	-3,119	243376,801	5,401	-88,062	
406	243376,826	6,077	-3,171	243376,851	5,400	-88,110	
407	243376,876	6,076	-3,215	243376,901	5,401	-88,087	
408	243376,926	6,078	-3,096	243376,951	5,401	-88,071	
409	243376,976	6,077	-3,131	243377,001	5,401	-88,075	
410	243377,026	6,077	-3,178	243377,051	5,401	-88,055	
411	243377,076	6,076	-3,156	243377,101	5,401	-88,032	
412	243377,126	6,077	-3,191	243377,151	5,401	-88,037	
413	243377,176	6,077	-3,090	243377,201	5,400	-88,122	
414	243377,226	6,077	-3,163	243377,251	5,400	-88,112	
415	243377,276	6,077	-3,153	243377,301	5,401	-88,030	
416	243377,326	6,076	-3,208	243377,351	5,401	-88,034	
417	243377,376	6,077	-3,099	243377,401	5,401	-88,029	
418	243377,426	6,077	-3,154	243377,451	5,401	-88,080	
419	243377,476	6,077	-3,145	243377,501	5,401	-88,021	
