Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 17\Prüfablauf - (1 von 1)\F4016_1_Ueberlast_mittig_#3.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
336	88589,384	6,108	-2,820	88589,409	5,557	-70,798	
337	88589,434	6,108	-2,917	88589,459	5,557	-70,764	
338	88589,484	6,108	-2,871	88589,509	5,558	-70,742	
339	88589,534	6,108	-2,928	88589,559	5,558	-70,766	
340	88589,584	6,107	-2,883	88589,609	5,558	-70,762	
341	88589,634	6,106	-2,970	88589,659	5,559	-70,760	
342	88589,684	6,107	-2,934	88589,709	5,558	-70,767	
343	88589,734	6,108	-2,904	88589,759	5,557	-70,790	
344	88589,784	6,108	-2,804	88589,809	5,558	-70,750	
345	88589,834	6,107	-2,898	88589,859	5,559	-70,765	
346	88589,884	6,109	-2,845	88589,909	5,557	-70,787	
347	88589,934	6,107	-2,934	88589,959	5,558	-70,732	
348	88589,984	6,108	-2,897	88590,009	5,558	-70,762	
349	88590,034	6,108	-2,871	88590,059	5,558	-70,792	
350	88590,084	6,108	-2,817	88590,109	5,557	-70,771	
351	88590,134	6,109	-2,889	88590,159	5,557	-70,773	
352	88590,184	6,106	-2,916	88590,209	5,558	-70,797	
353	88590,234	6,109	-2,866	88590,259	5,557	-70,748	
354	88590,284	6,109	-2,870	88590,309	5,557	-70,785	
355	88590,334	6,107	-2,968	88590,359	5,557	-70,746	
356	88590,384	6,108	-2,808	88590,409	5,558	-70,708	
357	88590,434	6,108	-2,860	88590,459	5,558	-70,729	
358	88590,484	6,109	-2,804	88590,509	5,557	-70,768	
359	88590,534	6,108	-2,985	88590,559	5,558	-70,776	
360	88590,584	6,107	-2,929	88590,609	5,558	-70,772	
361	88590,634	6,107	-2,955	88590,659	5,558	-70,751	
362	88590,684	6,107	-2,913	88590,709	5,557	-70,744	
363	88590,734	6,109	-2,896	88590,759	5,557	-70,788	
364	88590,784	6,107	-2,888	88590,809	5,559	-70,759	
365	88590,834	6,107	-2,930	88590,859	5,558	-70,719	
366	88590,884	6,108	-2,811	88590,909	5,558	-70,725	
367	88590,934	6,107	-2,947	88590,959	5,557	-70,752	
368	88590,984	6,108	-2,841	88591,009	5,558	-70,705	
369	88591,034	6,108	-2,895	88591,059	5,557	-70,721	
370	88591,084	6,107	-2,948	88591,109	5,558	-70,718	
371	88591,134	6,107	-2,925	88591,159	5,558	-70,740	
372	88591,184	6,109	-2,811	88591,209	5,558	-70,781	
373	88591,234	6,108	-2,820	88591,259	5,557	-70,713	
374	88591,284	6,109	-2,868	88591,309	5,558	-70,751	
375	88591,334	6,109	-2,826	88591,359	5,557	-70,758	
376	88591,384	6,107	-2,888	88591,409	5,557	-70,733	
377	88591,434	6,108	-2,890	88591,459	5,557	-70,741	
378	88591,484	6,108	-2,848	88591,509	5,558	-70,713	
379	88591,534	6,108	-2,879	88591,559	5,557	-70,745	
380	88591,584	6,109	-2,866	88591,609	5,557	-70,759	
381	88591,634	6,109	-2,872	88591,659	5,559	-70,758	
382	88591,684	6,107	-2,921	88591,709	5,558	-70,776	
383	88591,734	6,108	-2,905	88591,759	5,558	-70,791	
384	88591,784	6,108	-2,894	88591,809	5,558	-70,817	
385	88591,834	6,109	-2,804	88591,859	5,559	-70,754	
386	88591,884	6,107	-2,855	88591,909	5,557	-70,793	
