Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 21\Prüfablauf - (1 von 1)\F4016_1_Ueberlast_mittig_#2.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
391	154528,439	6,105	-2,767	154528,464	5,555	-70,741	
392	154528,489	6,103	-2,805	154528,514	5,555	-70,653	
393	154528,539	6,103	-2,788	154528,564	5,556	-70,741	
394	154528,589	6,104	-2,806	154528,614	5,556	-70,677	
395	154528,639	6,104	-2,858	154528,664	5,556	-70,727	
396	154528,689	6,104	-2,811	154528,714	5,556	-70,665	
397	154528,739	6,104	-2,848	154528,764	5,556	-70,660	
398	154528,789	6,103	-2,894	154528,814	5,556	-70,683	
399	154528,839	6,104	-2,805	154528,864	5,556	-70,699	
400	154528,889	6,104	-2,835	154528,914	5,555	-70,675	
401	154528,939	6,104	-2,828	154528,964	5,555	-70,735	
402	154528,989	6,104	-2,834	154529,014	5,556	-70,669	
403	154529,039	6,104	-2,819	154529,064	5,555	-70,784	
404	154529,089	6,104	-2,779	154529,114	5,555	-70,615	
405	154529,139	6,103	-2,843	154529,164	5,555	-70,738	
406	154529,189	6,104	-2,779	154529,214	5,555	-70,709	
407	154529,239	6,104	-2,817	154529,264	5,556	-70,701	
408	154529,289	6,103	-2,846	154529,314	5,556	-70,687	
409	154529,339	6,102	-2,907	154529,364	5,557	-70,692	
410	154529,389	6,103	-2,845	154529,414	5,556	-70,681	
411	154529,439	6,104	-2,814	154529,464	5,555	-70,744	
412	154529,489	6,103	-2,839	154529,514	5,555	-70,636	
413	154529,539	6,104	-2,842	154529,564	5,556	-70,710	
414	154529,589	6,103	-2,884	154529,614	5,556	-70,676	
415	154529,639	6,104	-2,843	154529,664	5,556	-70,729	
416	154529,689	6,103	-2,879	154529,714	5,555	-70,648	
417	154529,739	6,103	-2,874	154529,764	5,556	-70,701	
418	154529,789	6,102	-2,914	154529,814	5,555	-70,661	
419	154529,839	6,103	-2,929	154529,864	5,556	-70,726	
420	154529,889	6,102	-2,927	154529,914	5,555	-70,707	
421	154529,939	6,104	-2,854	154529,964	5,556	-70,725	
